 ,Area,IntDen,Median,RawIntDen
1574,6,7950.000,1456,7950.000
1575,7,8669.000,1263,8669.000
1576,14,15350.000,1042,15350.000
1577,10,10862.000,1049,10862.000
1578,5,5539.000,1173,5539.000
1579,5,5141.000,998,5141.000
1580,7,6958.000,964,6958.000
1581,5,5630.000,1195,5630.000
1582,7,8952.000,1193,8952.000
1583,13,14587.000,1047,14587.000
1584,7,7493.000,1051,7493.000
1585,4,4774.000,1242,4774.000
1586,3,3727.000,1092,3727.000
1587,7,8443.000,1175,8443.000
1588,11,13091.000,1278,13091.000
1589,4,4677.000,1310,4677.000
1590,9,9532.000,1035,9532.000
1591,9,11204.000,1394,11204.000
1592,8,7684.000,887,7684.000
1593,5,4961.000,908,4961.000
1594,2,2627.000,1365,2627.000
1595,10,11757.000,1285,11757.000
1596,7,7593.000,1095,7593.000
1597,10,11350.000,1175,11350.000
1598,7,7992.000,1038,7992.000
1599,5,5186.000,976,5186.000
1600,3,2629.000,843,2629.000
1601,10,13442.000,1357,13442.000
1602,5,5327.000,1036,5327.000
1603,4,4131.000,1080,4131.000
1604,8,10338.000,1371,10338.000
1605,9,11892.000,1325,11892.000
1606,6,8256.000,1435,8256.000
1607,5,4719.000,839,4719.000
1608,26,33268.000,1391,33268.000
1609,4,4679.000,1211,4679.000
1610,12,14615.000,1285,14615.000
1611,12,15406.000,1444,15406.000
1612,8,9353.000,1347,9353.000
1613,2,1750.000,910,1750.000
1614,7,7535.000,1031,7535.000
1615,7,7500.000,1032,7500.000
1616,7,8611.000,1225,8611.000
1617,3,2954.000,905,2954.000
1618,6,8991.000,1598,8991.000
1619,8,10918.000,1598,10918.000
1620,13,16851.000,1452,16851.000
1621,9,10415.000,1292,10415.000
1622,4,4340.000,1245,4340.000
1623,5,5500.000,1050,5500.000
1624,7,8349.000,1255,8349.000
1625,4,4162.000,1102,4162.000
1626,4,3613.000,843,3613.000
1627,11,13778.000,1270,13778.000
1628,4,4270.000,1148,4270.000
1629,5,5562.000,946,5562.000
